"clogid","cbussinessid","cobjectid","cobjectline","calarmcode","crecvoccurutctime"
"20047","","19726554","0","1524","2017/9/22 02:53:14"
"20224","","19726554","0","1524","2017/9/22 02:53:38"
"20352","","19726554","0","1524","2017/9/22 03:22:35"
"20362","","19726554","0","1524","2017/9/22 03:23:26"
"20371","","19726554","0","1524","2017/9/22 03:23:30"
"20455","","19726554","0","1524","2017/9/22 03:39:19"
"20484","","19726554","0","1524","2017/9/22 03:42:35"
"4133","","19726554","0","1524","2017/9/22 02:36:17"
"4190","","19726554","0","1524","2017/9/22 02:37:00"
"20048","","19726554","0","1524","2017/9/22 02:53:14"
"20225","","19726554","0","1524","2017/9/22 02:53:38"
"20353","","19726554","0","1524","2017/9/22 03:22:35"
